Area Name,Age Group,Total,Male,Female,,,,,,,,,,,,,,,,,,
Kittitas,10-14,"2,147","1,105","1,042",,,,,,,,,,,,,,,,,,
Kittitas,15-19,"3,879","1,929","1,950",,,,,,,,,,,,,,,,,,
Kittitas,20-24,"6,822","3,653","3,169",,,,,,,,,,,,,,,,,,
Kittitas,25-29,"2,764","1,535","1,229",,,,,,,,,,,,,,,,,,
Kittitas,30-34,"2,013","1,009","1,004",,,,,,,,,,,,,,,,,,
Kittitas,35-39,"2,010","1,016",994,,,,,,,,,,,,,,,,,,
Kittitas,40-44,"2,100","1,068","1,032",,,,,,,,,,,,,,,,,,
Kittitas,45-49,"2,399","1,191","1,208",,,,,,,,,,,,,,,,,,
Kittitas,50-54,"2,673","1,349","1,324",,,,,,,,,,,,,,,,,,
Kittitas,55-59,"2,534","1,275","1,259",,,,,,,,,,,,,,,,,,
Kittitas,60-64,"2,288","1,140","1,148",,,,,,,,,,,,,,,,,,
Kittitas,65-69,"1,808",906,902,,,,,,,,,,,,,,,,,,
Kittitas,70-74,"1,256",651,605,,,,,,,,,,,,,,,,,,
Kittitas,75-79,824,389,435,,,,,,,,,,,,,,,,,,
Kittitas,80-84,603,259,344,,,,,,,,,,,,,,,,,,
Kittitas,85+,721,256,465,,,,,,,,,,,,,,,,,,
Kittitas,Total,"40,915","20,793","20,122",,,,,,,,,,,,,,,,,,
Klickitat,0-4,"1,114",561,553,,,,,,,,,,,,,,,,,,
Klickitat,5-9,"1,207",630,577,,,,,,,,,,,,,,,,,,
Klickitat,10-14,"1,336",708,628,,,,,,,,,,,,,,,,,,
Klickitat,15-19,"1,231",608,623,,,,,,,,,,,,,,,,,,
Klickitat,20-24,832,434,398,,,,,,,,,,,,,,,,,,
Klickitat,25-29,927,494,433,,,,,,,,,,,,,,,,,,
Klickitat,30-34,"1,031",498,533,,,,,,,,,,,,,,,,,,
Klickitat,35-39,"1,195",616,579,,,,,,,,,,,,,,,,,,
Klickitat,40-44,"1,208",634,574,,,,,,,,,,,,,,,,,,
Klickitat,45-49,"1,423",720,703,,,,,,,,,,,,,,,,,,
Klickitat,50-54,"1,655",803,852,,,,,,,,,,,,,,,,,,
Klickitat,55-59,"1,853",897,956,,,,,,,,,,,,,,,,,,
Klickitat,60-64,"1,681",859,822,,,,,,,,,,,,,,,,,,
Klickitat,65-69,"1,332",720,612,,,,,,,,,,,,,,,,,,
Klickitat,70-74,908,460,448,,,,,,,,,,,,,,,,,,
Klickitat,75-79,619,299,320,,,,,,,,,,,,,,,,,,
Klickitat,80-84,414,199,215,,,,,,,,,,,,,,,,,,
Klickitat,85+,352,128,224,,,,,,,,,,,,,,,,,,
Klickitat,Total,"20,318","10,268","10,050",,,,,,,,,,,,,,,,,,
Lewis,0-4,"4,585","2,383","2,202",,,,,,,,,,,,,,,,,,
Lewis,5-9,"4,539","2,327","2,212",,,,,,,,,,,,,,,,,,
Lewis,10-14,"5,094","2,560","2,534",,,,,,,,,,,,,,,,,,
Lewis,15-19,"5,311","2,915","2,396",,,,,,,,,,,,,,,,,,
Lewis,20-24,"4,242","2,206","2,036",,,,,,,,,,,,,,,,,,
Lewis,25-29,"4,269","2,167","2,102",,,,,,,,,,,,,,,,,,
Lewis,30-34,"4,201","2,111","2,090",,,,,,,,,,,,,,,,,,
Lewis,35-39,"4,120","2,039","2,081",,,,,,,,,,,,,,,,,,
Lewis,40-44,"4,449","2,268","2,181",,,,,,,,,,,,,,,,,,
Lewis,45-49,"5,316","2,600","2,716",,,,,,,,,,,,,,,,,,
Lewis,50-54,"5,655","2,832","2,823",,,,,,,,,,,,,,,,,,
Lewis,55-59,"5,482","2,677","2,805",,,,,,,,,,,,,,,,,,
Lewis,60-64,"5,116","2,591","2,525",,,,,,,,,,,,,,,,,,
Lewis,65-69,"4,169","2,036","2,133",,,,,,,,,,,,,,,,,,
Lewis,70-74,"3,116","1,564","1,552",,,,,,,,,,,,,,,,,,
Lewis,75-79,"2,296","1,063","1,233",,,,,,,,,,,,,,,,,,
Lewis,80-84,"1,753",780,973,,,,,,,,,,,,,,,,,,
Lewis,85+,"1,742",631,"1,111",,,,,,,,,,,,,,,,,,
Lewis,Total,"75,455","37,750","37,705",,,,,,,,,,,,,,,,,,
Lincoln,0-4,551,294,257,,,,,,,,,,,,,,,,,,
Lincoln,5-9,645,306,339,,,,,,,,,,,,,,,,,,
Lincoln,10-14,744,376,368,,,,,,,,,,,,,,,,,,
Lincoln,15-19,676,355,321,,,,,,,,,,,,,,,,,,
Lincoln,20-24,391,215,176,,,,,,,,,,,,,,,,,,
Lincoln,25-29,405,193,212,,,,,,,,,,,,,,,,,,
Lincoln,30-34,463,234,229,,,,,,,,,,,,,,,,,,
Lincoln,35-39,480,235,245,,,,,,,,,,,,,,,,,,
Lincoln,40-44,566,289,277,,,,,,,,,,,,,,,,,,
Lincoln,45-49,719,351,368,,,,,,,,,,,,,,,,,,
Lincoln,50-54,948,476,472,,,,,,,,,,,,,,,,,,
Lincoln,55-59,916,450,466,,,,,,,,,,,,,,,,,,
Lincoln,60-64,869,446,423,,,,,,,,,,,,,,,,,,
Lincoln,65-69,690,347,343,,,,,,,,,,,,,,,,,,
Lincoln,70-74,549,279,270,,,,,,,,,,,,,,,,,,
Lincoln,75-79,393,190,203,,,,,,,,,,,,,,,,,,
Lincoln,80-84,282,133,149,,,,,,,,,,,,,,,,,,
Lincoln,85+,283,108,175,,,,,,,,,,,,,,,,,,
Lincoln,Total,"10,570","5,277","5,293",,,,,,,,,,,,,,,,,,
Mason,0-4,"3,278","1,717","1,561",,,,,,,,,,,,,,,,,,
Mason,5-9,"3,357","1,749","1,608",,,,,,,,,,,,,,,,,,
Mason,10-14,"3,513","1,808","1,705",,,,,,,,,,,,,,,,,,
Mason,15-19,"3,688","1,967","1,721",,,,,,,,,,,,,,,,,,
Mason,20-24,"3,124","1,778","1,346",,,,,,,,,,,,,,,,,,
Mason,25-29,"3,532","1,944","1,588",,,,,,,,,,,,,,,,,,
Mason,30-34,"3,371","1,905","1,466",,,,,,,,,,,,,,,,,,
Mason,35-39,"3,403","1,826","1,577",,,,,,,,,,,,,,,,,,
Mason,40-44,"3,548","1,890","1,658",,,,,,,,,,,,,,,,,,
Mason,45-49,"4,388","2,220","2,168",,,,,,,,,,,,,,,,,,
Mason,50-54,"4,783","2,481","2,302",,,,,,,,,,,,,,,,,,
Mason,55-59,"4,998","2,452","2,546",,,,,,,,,,,,,,,,,,
Mason,60-64,"4,604","2,268","2,336",,,,,,,,,,,,,,,,,,
Mason,65-69,"3,722","1,804","1,918",,,,,,,,,,,,,,,,,,
Mason,70-74,"2,842","1,437","1,405",,,,,,,,,,,,,,,,,,
Mason,75-79,"2,006","1,037",969,,,,,,,,,,,,,,,,,,
Mason,80-84,"1,424",673,751,,,,,,,,,,,,,,,,,,
Mason,85+,"1,118",444,674,,,,,,,,,,,,,,,,,,
Mason,Total,"60,699","31,400","29,299",,,,,,,,,,,,,,,,,,
Okanogan,0-4,"2,805","1,443","1,362",,,,,,,,,,,,,,,,,,
Okanogan,5-9,"2,531","1,295","1,236",,,,,,,,,,,,,,,,,,
Okanogan,10-14,"2,616","1,384","1,232",,,,,,,,,,,,,,,,,,
Okanogan,15-19,"2,673","1,373","1,300",,,,,,,,,,,,,,,,,,
Okanogan,20-24,"2,022","1,060",962,,,,,,,,,,,,,,,,,,
Okanogan,25-29,"2,156","1,101","1,055",,,,,,,,,,,,,,,,,,
Okanogan,30-34,"2,146","1,105","1,041",,,,,,,,,,,,,,,,,,
Okanogan,35-39,"2,260","1,129","1,131",,,,,,,,,,,,,,,,,,
Okanogan,40-44,"2,295","1,162","1,133",,,,,,,,,,,,,,,,,,
Okanogan,45-49,"2,752","1,342","1,410",,,,,,,,,,,,,,,,,,
Okanogan,50-54,"3,247","1,573","1,674",,,,,,,,,,,,,,,,,,
Okanogan,55-59,"3,353","1,669","1,684",,,,,,,,,,,,,,,,,,
Okanogan,60-64,"3,194","1,636","1,558",,,,,,,,,,,,,,,,,,
Okanogan,65-69,"2,410","1,271","1,139",,,,,,,,,,,,,,,,,,
Okanogan,70-74,"1,774",932,842,,,,,,,,,,,,,,,,,,
Okanogan,75-79,"1,261",622,639,,,,,,,,,,,,,,,,,,
Okanogan,80-84,842,366,476,,,,,,,,,,,,,,,,,,
Okanogan,85+,783,287,496,,,,,,,,,,,,,,,,,,
Okanogan,Total,"41,120","20,750","20,370",,,,,,,,,,,,,,,,,,
Pacific,0-4,995,535,460,,,,,,,,,,,,,,,,,,
Pacific,5-9,978,499,479,,,,,,,,,,,,,,,,,,
Pacific,10-14,"1,016",506,510,,,,,,,,,,,,,,,,,,
Pacific,15-19,"1,172",668,504,,,,,,,,,,,,,,,,,,
Pacific,20-24,889,470,419,,,,,,,,,,,,,,,,,,
Pacific,25-29,904,467,437,,,,,,,,,,,,,,,,,,
Pacific,30-34,914,492,422,,,,,,,,,,,,,,,,,,
Pacific,35-39,897,440,457,,,,,,,,,,,,,,,,,,
Pacific,40-44,"1,091",555,536,,,,,,,,,,,,,,,,,,
Pacific,45-49,"1,330",666,664,,,,,,,,,,,,,,,,,,
Pacific,50-54,"1,620",792,828,,,,,,,,,,,,,,,,,,
Pacific,55-59,"1,988",962,"1,026",,,,,,,,,,,,,,,,,,
Pacific,60-64,"1,943",945,998,,,,,,,,,,,,,,,,,,
Pacific,65-69,"1,725",853,872,,,,,,,,,,,,,,,,,,
Pacific,70-74,"1,289",649,640,,,,,,,,,,,,,,,,,,
Pacific,75-79,921,449,472,,,,,,,,,,,,,,,,,,
Pacific,80-84,653,320,333,,,,,,,,,,,,,,,,,,
Pacific,85+,595,220,375,,,,,,,,,,,,,,,,,,
Pacific,Total,"20,920","10,488","10,432",,,,,,,,,,,,,,,,,,
Pend Oreille,0-4,698,341,357,,,,,,,,,,,,,,,,,,
Pend Oreille,5-9,696,386,310,,,,,,,,,,,,,,,,,,
Pend Oreille,10-14,868,460,408,,,,,,,,,,,,,,,,,,
Pend Oreille,15-19,791,409,382,,,,,,,,,,,,,,,,,,
Pend Oreille,20-24,488,243,245,,,,,,,,,,,,,,,,,,
Pend Oreille,25-29,511,251,260,,,,,,,,,,,,,,,,,,
Pend Oreille,30-34,533,263,270,,,,,,,,,,,,,,,,,,
Pend Oreille,35-39,644,327,317,,,,,,,,,,,,,,,,,,
Pend Oreille,40-44,730,369,361,,,,,,,,,,,,,,,,,,
Pend Oreille,45-49,994,490,504,,,,,,,,,,,,,,,,,,
Pend Oreille,50-54,"1,143",561,582,,,,,,,,,,,,,,,,,,
Pend Oreille,55-59,"1,244",655,589,,,,,,,,,,,,,,,,,,
Pend Oreille,60-64,"1,176",612,564,,,,,,,,,,,,,,,,,,
Pend Oreille,65-69,933,463,470,,,,,,,,,,,,,,,,,,
Pend Oreille,70-74,608,333,275,,,,,,,,,,,,,,,,,,
Pend Oreille,75-79,424,212,212,,,,,,,,,,,,,,,,,,
Pend Oreille,80-84,263,128,135,,,,,,,,,,,,,,,,,,
Pend Oreille,85+,257,90,167,,,,,,,,,,,,,,,,,,
Pend Oreille,Total,"13,001","6,593","6,408",,,,,,,,,,,,,,,,,,
Pierce,0-4,"55,663","28,414","27,249",,,,,,,,,,,,,,,,,,
Pierce,5-9,"53,579","27,330","26,249",,,,,,,,,,,,,,,,,,
Pierce,10-14,"54,838","28,039","26,799",,,,,,,,,,,,,,,,,,
Pierce,15-19,"56,289","28,898","27,391",,,,,,,,,,,,,,,,,,
Pierce,20-24,"56,203","28,636","27,567",,,,,,,,,,,,,,,,,,
Pierce,25-29,"58,327","28,877","29,450",,,,,,,,,,,,,,,,,,
Pierce,30-34,"53,723","26,607","27,116",,,,,,,,,,,,,,,,,,
Pierce,35-39,"52,825","26,405","26,420",,,,,,,,,,,,,,,,,,
Pierce,40-44,"55,602","27,611","27,991",,,,,,,,,,,,,,,,,,
Pierce,45-49,"59,711","29,941","29,770",,,,,,,,,,,,,,,,,,
Pierce,50-54,"59,232","29,334","29,898",,,,,,,,,,,,,,,,,,
Pierce,55-59,"50,100","24,254","25,846",,,,,,,,,,,,,,,,,,
Pierce,60-64,"41,348","20,146","21,202",,,,,,,,,,,,,,,,,,
Pierce,65-69,"28,956","13,772","15,184",,,,,,,,,,,,,,,,,,
Pierce,70-74,"19,951","9,206","10,745",,,,,,,,,,,,,,,,,,
Pierce,75-79,"15,812","7,004","8,808",,,,,,,,,,,,,,,,,,
Pierce,80-84,"11,885","4,768","7,117",,,,,,,,,,,,,,,,,,
Pierce,85+,"11,181","3,692","7,489",,,,,,,,,,,,,,,,,,
Pierce,Total,"795,225","392,934","402,291",,,,,,,,,,,,,,,,,,
San Juan,0-4,539,258,281,,,,,,,,,,,,,,,,,,
San Juan,5-9,647,322,325,,,,,,,,,,,,,,,,,,
San Juan,10-14,776,379,397,,,,,,,,,,,,,,,,,,
San Juan,15-19,746,376,370,,,,,,,,,,,,,,,,,,
San Juan,20-24,511,265,246,,,,,,,,,,,,,,,,,,
San Juan,25-29,589,270,319,,,,,,,,,,,,,,,,,,
San Juan,30-34,668,338,330,,,,,,,,,,,,,,,,,,
San Juan,35-39,730,379,351,,,,,,,,,,,,,,,,,,
San Juan,40-44,841,397,444,,,,,,,,,,,,,,,,,,
San Juan,45-49,"1,124",543,581,,,,,,,,,,,,,,,,,,
San Juan,50-54,"1,398",642,756,,,,,,,,,,,,,,,,,,
San Juan,55-59,"1,707",815,892,,,,,,,,,,,,,,,,,,
San Juan,60-64,"1,836",873,963,,,,,,,,,,,,,,,,,,
San Juan,65-69,"1,382",712,670,,,,,,,,,,,,,,,,,,
San Juan,70-74,892,453,439,,,,,,,,,,,,,,,,,,
San Juan,75-79,558,288,270,,,,,,,,,,,,,,,,,,
San Juan,80-84,373,184,189,,,,,,,,,,,,,,,,,,
San Juan,85+,452,171,281,,,,,,,,,,,,,,,,,,
San Juan,Total,"15,769","7,665","8,104",,,,,,,,,,,,,,,,,,
Skagit,0-4,"7,597","3,847","3,750",,,,,,,,,,,,,,,,,,
Skagit,5-9,"7,414","3,732","3,682",,,,,,,,,,,,,,,,,,
Skagit,10-14,"7,696","3,919","3,777",,,,,,,,,,,,,,,,,,
Skagit,15-19,"8,052","4,171","3,881",,,,,,,,,,,,,,,,,,
Skagit,20-24,"6,580","3,387","3,193",,,,,,,,,,,,,,,,,,
Skagit,25-29,"7,320","3,771","3,549",,,,,,,,,,,,,,,,,,
Skagit,30-34,"6,784","3,451","3,333",,,,,,,,,,,,,,,,,,
Skagit,35-39,"6,804","3,389","3,415",,,,,,,,,,,,,,,,,,
Skagit,40-44,"7,024","3,609","3,415",,,,,,,,,,,,,,,,,,
Skagit,45-49,"7,940","3,978","3,962",,,,,,,,,,,,,,,,,,
Skagit,50-54,"8,571","4,153","4,418",,,,,,,,,,,,,,,,,,
Skagit,55-59,"8,504","4,148","4,356",,,,,,,,,,,,,,,,,,
Skagit,60-64,"7,739","3,728","4,011",,,,,,,,,,,,,,,,,,
Skagit,65-69,"5,972","2,925","3,047",,,,,,,,,,,,,,,,,,
Skagit,70-74,"4,287","2,093","2,194",,,,,,,,,,,,,,,,,,
Skagit,75-79,"3,271","1,524","1,747",,,,,,,,,,,,,,,,,,
Skagit,80-84,"2,656","1,196","1,460",,,,,,,,,,,,,,,,,,
Skagit,85+,"2,690",959,"1,731",,,,,,,,,,,,,,,,,,
Skagit,Total,"116,901","57,980","58,921",,,,,,,,,,,,,,,,,,
Skamania,0-4,604,301,303,,,,,,,,,,,,,,,,,,
Skamania,5-9,648,326,322,,,,,,,,,,,,,,,,,,
Skamania,10-14,730,367,363,,,,,,,,,,,,,,,,,,
Skamania,15-19,717,378,339,,,,,,,,,,,,,,,,,,
Skamania,20-24,451,235,216,,,,,,,,,,,,,,,,,,
Skamania,25-29,501,242,259,,,,,,,,,,,,,,,,,,
Skamania,30-34,639,330,309,,,,,,,,,,,,,,,,,,
Skamania,35-39,674,316,358,,,,,,,,,,,,,,,,,,
Skamania,40-44,710,351,359,,,,,,,,,,,,,,,,,,
Skamania,45-49,943,487,456,,,,,,,,,,,,,,,,,,
Skamania,50-54,"1,013",486,527,,,,,,,,,,,,,,,,,,
Skamania,55-59,"1,028",533,495,,,,,,,,,,,,,,,,,,
Skamania,60-64,812,427,385,,,,,,,,,,,,,,,,,,
Skamania,65-69,617,312,305,,,,,,,,,,,,,,,,,,
Skamania,70-74,364,185,179,,,,,,,,,,,,,,,,,,
Skamania,75-79,276,138,138,,,,,,,,,,,,,,,,,,
Skamania,80-84,188,89,99,,,,,,,,,,,,,,,,,,
Skamania,85+,151,62,89,,,,,,,,,,,,,,,,,,
Skamania,Total,"11,066","5,565","5,501",,,,,,,,,,,,,,,,,,
Snohomish,0-4,"47,378","24,247","23,131",,,,,,,,,,,,,,,,,,
Snohomish,5-9,"47,064","24,022","23,042",,,,,,,,,,,,,,,,,,
Snohomish,10-14,"48,705","24,879","23,826",,,,,,,,,,,,,,,,,,
Snohomish,15-19,"49,561","25,653","23,908",,,,,,,,,,,,,,,,,,
Snohomish,20-24,"44,412","23,256","21,156",,,,,,,,,,,,,,,,,,
Snohomish,25-29,"49,844","25,524","24,320",,,,,,,,,,,,,,,,,,
Snohomish,30-34,"49,359","25,233","24,126",,,,,,,,,,,,,,,,,,
Snohomish,35-39,"50,660","25,735","24,925",,,,,,,,,,,,,,,,,,
Snohomish,40-44,"53,814","27,436","26,378",,,,,,,,,,,,,,,,,,
Snohomish,45-49,"58,168","29,280","28,888",,,,,,,,,,,,,,,,,,
Snohomish,50-54,"56,243","28,308","27,935",,,,,,,,,,,,,,,,,,
Snohomish,55-59,"47,545","23,509","24,036",,,,,,,,,,,,,,,,,,
Snohomish,60-64,"37,038","17,914","19,124",,,,,,,,,,,,,,,,,,
Snohomish,65-69,"24,442","11,726","12,716",,,,,,,,,,,,,,,,,,
Snohomish,70-74,"16,577","7,561","9,016",,,,,,,,,,,,,,,,,,
Snohomish,75-79,"12,712","5,504","7,208",,,,,,,,,,,,,,,,,,
Snohomish,80-84,"9,605","3,736","5,869",,,,,,,,,,,,,,,,,,
Snohomish,85+,"10,208","3,435","6,773",,,,,,,,,,,,,,,,,,
Snohomish,Total,"713,335","356,958","356,377",,,,,,,,,,,,,,,,,,
Spokane,0-4,"30,241","15,499","14,742",,,,,,,,,,,,,,,,,,
Spokane,5-9,"29,752","15,307","14,445",,,,,,,,,,,,,,,,,,
Spokane,10-14,"30,441","15,640","14,801",,,,,,,,,,,,,,,,,,
Spokane,15-19,"34,817","17,496","17,321",,,,,,,,,,,,,,,,,,
Spokane,20-24,"38,015","18,981","19,034",,,,,,,,,,,,,,,,,,
Spokane,25-29,"33,376","17,156","16,220",,,,,,,,,,,,,,,,,,
Spokane,30-34,"28,921","14,680","14,241",,,,,,,,,,,,,,,,,,
Spokane,35-39,"28,317","14,440","13,877",,,,,,,,,,,,,,,,,,
Spokane,40-44,"29,426","14,744","14,682",,,,,,,,,,,,,,,,,,
Spokane,45-49,"33,652","16,583","17,069",,,,,,,,,,,,,,,,,,
Spokane,50-54,"34,173","16,855","17,318",,,,,,,,,,,,,,,,,,
Spokane,55-59,"32,241","15,681","16,560",,,,,,,,,,,,,,,,,,
Spokane,60-64,"26,880","13,137","13,743",,,,,,,,,,,,,,,,,,
Spokane,65-69,"18,719","8,947","9,772",,,,,,,,,,,,,,,,,,
Spokane,70-74,"13,446","6,275","7,171",,,,,,,,,,,,,,,,,,
Spokane,75-79,"10,790","4,748","6,042",,,,,,,,,,,,,,,,,,
Spokane,80-84,"8,645","3,414","5,231",,,,,,,,,,,,,,,,,,
Spokane,85+,"9,369","3,113","6,256",,,,,,,,,,,,,,,,,,
Spokane,Total,"471,221","232,696","238,525",,,,,,,,,,,,,,,,,,
Stevens,0-4,"2,310","1,182","1,128",,,,,,,,,,,,,,,,,,
Stevens,5-9,"2,756","1,449","1,307",,,,,,,,,,,,,,,,,,
Stevens,10-14,"3,244","1,629","1,615",,,,,,,,,,,,,,,,,,
Stevens,15-19,"3,205","1,699","1,506",,,,,,,,,,,,,,,,,,
Stevens,20-24,"1,675",883,792,,,,,,,,,,,,,,,,,,
Stevens,25-29,"1,723",850,873,,,,,,,,,,,,,,,,,,
Stevens,30-34,"1,984",921,"1,063",,,,,,,,,,,,,,,,,,
Stevens,35-39,"2,270","1,152","1,118",,,,,,,,,,,,,,,,,,
Stevens,40-44,"2,583","1,229","1,354",,,,,,,,,,,,,,,,,,
Stevens,45-49,"3,153","1,526","1,627",,,,,,,,,,,,,,,,,,
Stevens,50-54,"3,822","1,845","1,977",,,,,,,,,,,,,,,,,,
Stevens,55-59,"3,817","1,888","1,929",,,,,,,,,,,,,,,,,,
Stevens,60-64,"3,473","1,784","1,689",,,,,,,,,,,,,,,,,,
Stevens,65-69,"2,797","1,480","1,317",,,,,,,,,,,,,,,,,,
Stevens,70-74,"1,917","1,010",907,,,,,,,,,,,,,,,,,,
Stevens,75-79,"1,235",601,634,,,,,,,,,,,,,,,,,,
Stevens,80-84,817,379,438,,,,,,,,,,,,,,,,,,
Stevens,85+,750,275,475,,,,,,,,,,,,,,,,,,
Stevens,Total,"43,531","21,782","21,749",,,,,,,,,,,,,,,,,,
Thurston,0-4,"15,381","7,922","7,459",,,,,,,,,,,,,,,,,,
Thurston,5-9,"15,629","8,037","7,592",,,,,,,,,,,,,,,,,,
Thurston,10-14,"16,559","8,587","7,972",,,,,,,,,,,,,,,,,,
Thurston,15-19,"17,216","8,881","8,335",,,,,,,,,,,,,,,,,,
Thurston,20-24,"16,325","8,101","8,224",,,,,,,,,,,,,,,,,,
Thurston,25-29,"17,406","8,602","8,804",,,,,,,,,,,,,,,,,,
Thurston,30-34,"16,609","8,202","8,407",,,,,,,,,,,,,,,,,,
Thurston,35-39,"16,276","7,986","8,290",,,,,,,,,,,,,,,,,,
Thurston,40-44,"16,731","8,315","8,416",,,,,,,,,,,,,,,,,,
Thurston,45-49,"18,108","8,785","9,323",,,,,,,,,,,,,,,,,,
Thurston,50-54,"18,935","8,946","9,989",,,,,,,,,,,,,,,,,,
Thurston,55-59,"18,485","8,572","9,913",,,,,,,,,,,,,,,,,,
Thurston,60-64,"15,840","7,534","8,306",,,,,,,,,,,,,,,,,,
Thurston,65-69,"11,012","5,213","5,799",,,,,,,,,,,,,,,,,,
Thurston,70-74,"7,272","3,405","3,867",,,,,,,,,,,,,,,,,,
Thurston,75-79,"5,557","2,562","2,995",,,,,,,,,,,,,,,,,,
Thurston,80-84,"4,376","1,786","2,590",,,,,,,,,,,,,,,,,,
Thurston,85+,"4,547","1,516","3,031",,,,,,,,,,,,,,,,,,
Thurston,Total,"252,264","122,952","129,312",,,,,,,,,,,,,,,,,,
Wahkiakum,0-4,159,73,86,,,,,,,,,,,,,,,,,,
Wahkiakum,5-9,191,99,92,,,,,,,,,,,,,,,,,,
Wahkiakum,10-14,233,113,120,,,,,,,,,,,,,,,,,,
Wahkiakum,15-19,209,124,85,,,,,,,,,,,,,,,,,,
Wahkiakum,20-24,113,63,50,,,,,,,,,,,,,,,,,,
Wahkiakum,25-29,147,83,64,,,,,,,,,,,,,,,,,,
Wahkiakum,30-34,156,77,79,,,,,,,,,,,,,,,,,,
Wahkiakum,35-39,168,78,90,,,,,,,,,,,,,,,,,,
Wahkiakum,40-44,216,112,104,,,,,,,,,,,,,,,,,,
Wahkiakum,45-49,274,142,132,,,,,,,,,,,,,,,,,,
Wahkiakum,50-54,291,142,149,,,,,,,,,,,,,,,,,,
Wahkiakum,55-59,382,191,191,,,,,,,,,,,,,,,,,,
Wahkiakum,60-64,424,199,225,,,,,,,,,,,,,,,,,,
Wahkiakum,65-69,378,200,178,,,,,,,,,,,,,,,,,,
Wahkiakum,70-74,264,132,132,,,,,,,,,,,,,,,,,,
Wahkiakum,75-79,163,86,77,,,,,,,,,,,,,,,,,,
Wahkiakum,80-84,105,52,53,,,,,,,,,,,,,,,,,,
Wahkiakum,85+,105,33,72,,,,,,,,,,,,,,,,,,
Wahkiakum,Total,"3,978","1,999","1,979",,,,,,,,,,,,,,,,,,
Walla Walla,0-4,"3,513","1,807","1,706",,,,,,,,,,,,,,,,,,
Walla Walla,5-9,"3,613","1,812","1,801",,,,,,,,,,,,,,,,,,
Walla Walla,10-14,"3,764","1,875","1,889",,,,,,,,,,,,,,,,,,
Walla Walla,15-19,"4,887","2,464","2,423",,,,,,,,,,,,,,,,,,
Walla Walla,20-24,"5,223","2,852","2,371",,,,,,,,,,,,,,,,,,
Walla Walla,25-29,"3,831","2,200","1,631",,,,,,,,,,,,,,,,,,
Walla Walla,30-34,"3,483","1,907","1,576",,,,,,,,,,,,,,,,,,
Walla Walla,35-39,"3,294","1,761","1,533",,,,,,,,,,,,,,,,,,
Walla Walla,40-44,"3,460","1,815","1,645",,,,,,,,,,,,,,,,,,
Walla Walla,45-49,"3,809","1,983","1,826",,,,,,,,,,,,,,,,,,
Walla Walla,50-54,"4,052","2,012","2,040",,,,,,,,,,,,,,,,,,
Walla Walla,55-59,"3,795","1,903","1,892",,,,,,,,,,,,,,,,,,
Walla Walla,60-64,"3,279","1,644","1,635",,,,,,,,,,,,,,,,,,
Walla Walla,65-69,"2,412","1,197","1,215",,,,,,,,,,,,,,,,,,
Walla Walla,70-74,"1,736",791,945,,,,,,,,,,,,,,,,,,
Walla Walla,75-79,"1,586",695,891,,,,,,,,,,,,,,,,,,
Walla Walla,80-84,"1,429",547,882,,,,,,,,,,,,,,,,,,
Walla Walla,85+,"1,615",570,"1,045",,,,,,,,,,,,,,,,,,
Walla Walla,Total,"58,781","29,835","28,946",,,,,,,,,,,,,,,,,,
Whatcom,0-4,"11,337","5,859","5,478",,,,,,,,,,,,,,,,,,
Whatcom,5-9,"11,265","5,810","5,455",,,,,,,,,,,,,,,,,,
Whatcom,10-14,"12,059","6,122","5,937",,,,,,,,,,,,,,,,,,
Whatcom,15-19,"15,905","7,882","8,023",,,,,,,,,,,,,,,,,,
Whatcom,20-24,"20,277","10,211","10,066",,,,,,,,,,,,,,,,,,
Whatcom,25-29,"14,019","7,262","6,757",,,,,,,,,,,,,,,,,,
Whatcom,30-34,"12,150","6,180","5,970",,,,,,,,,,,,,,,,,,
Whatcom,35-39,"11,676","5,858","5,818",,,,,,,,,,,,,,,,,,
Whatcom,40-44,"12,319","6,123","6,196",,,,,,,,,,,,,,,,,,
Whatcom,45-49,"13,532","6,694","6,838",,,,,,,,,,,,,,,,,,
Whatcom,50-54,"13,797","6,766","7,031",,,,,,,,,,,,,,,,,,
Whatcom,55-59,"13,828","6,599","7,229",,,,,,,,,,,,,,,,,,
Whatcom,60-64,"12,336","6,097","6,239",,,,,,,,,,,,,,,,,,
Whatcom,65-69,"8,760","4,323","4,437",,,,,,,,,,,,,,,,,,
Whatcom,70-74,"5,908","2,871","3,037",,,,,,,,,,,,,,,,,,
Whatcom,75-79,"4,563","2,135","2,428",,,,,,,,,,,,,,,,,,
Whatcom,80-84,"3,666","1,560","2,106",,,,,,,,,,,,,,,,,,
Whatcom,85+,"3,743","1,283","2,460",,,,,,,,,,,,,,,,,,
Whatcom,Total,"201,140","99,635","101,505",,,,,,,,,,,,,,,,,,
Whitman,0-4,"1,978","1,069",909,,,,,,,,,,,,,,,,,,
Whitman,5-9,"1,810",908,902,,,,,,,,,,,,,,,,,,
Whitman,10-14,"1,789",950,839,,,,,,,,,,,,,,,,,,
Whitman,15-19,"6,072","2,911","3,161",,,,,,,,,,,,,,,,,,
Whitman,20-24,"11,394","6,162","5,232",,,,,,,,,,,,,,,,,,
Whitman,25-29,"3,621","1,899","1,722",,,,,,,,,,,,,,,,,,
Whitman,30-34,"2,324","1,220","1,104",,,,,,,,,,,,,,,,,,
