Area Name,Age Group,Total,Male,Female,,,,,,,,,,,,,,,,,,
Chelan,40-44,"4,291","2,151","2,140",,,,,,,,,,,,,,,,,,
Chelan,45-49,"5,034","2,487","2,547",,,,,,,,,,,,,,,,,,
Chelan,50-54,"5,523","2,699","2,824",,,,,,,,,,,,,,,,,,
Chelan,55-59,"5,214","2,627","2,587",,,,,,,,,,,,,,,,,,
Chelan,60-64,"4,414","2,205","2,209",,,,,,,,,,,,,,,,,,
Chelan,65-69,"3,237","1,588","1,649",,,,,,,,,,,,,,,,,,
Chelan,70-74,"2,582","1,272","1,310",,,,,,,,,,,,,,,,,,
Chelan,75-79,"1,961",927,"1,034",,,,,,,,,,,,,,,,,,
Chelan,80-84,"1,562",658,904,,,,,,,,,,,,,,,,,,
Chelan,85+,"1,833",670,"1,163",,,,,,,,,,,,,,,,,,
Chelan,Total,"72,453","36,130","36,323",,,,,,,,,,,,,,,,,,
Clallam,0-4,"3,363","1,792","1,571",,,,,,,,,,,,,,,,,,
Clallam,5-9,"3,398","1,734","1,664",,,,,,,,,,,,,,,,,,
Clallam,10-14,"3,822","1,935","1,887",,,,,,,,,,,,,,,,,,
Clallam,15-19,"3,994","2,160","1,834",,,,,,,,,,,,,,,,,,
Clallam,20-24,"3,598","2,004","1,594",,,,,,,,,,,,,,,,,,
Clallam,25-29,"3,591","1,917","1,674",,,,,,,,,,,,,,,,,,
Clallam,30-34,"3,460","1,848","1,612",,,,,,,,,,,,,,,,,,
Clallam,35-39,"3,365","1,736","1,629",,,,,,,,,,,,,,,,,,
Clallam,40-44,"3,579","1,799","1,780",,,,,,,,,,,,,,,,,,
Clallam,45-49,"4,497","2,165","2,332",,,,,,,,,,,,,,,,,,
Clallam,50-54,"5,480","2,647","2,833",,,,,,,,,,,,,,,,,,
Clallam,55-59,"6,093","2,854","3,239",,,,,,,,,,,,,,,,,,
Clallam,60-64,"5,975","2,824","3,151",,,,,,,,,,,,,,,,,,
Clallam,65-69,"5,255","2,509","2,746",,,,,,,,,,,,,,,,,,
Clallam,70-74,"3,961","2,001","1,960",,,,,,,,,,,,,,,,,,
Clallam,75-79,"3,021","1,430","1,591",,,,,,,,,,,,,,,,,,
Clallam,80-84,"2,439","1,121","1,318",,,,,,,,,,,,,,,,,,
Clallam,85+,"2,513",953,"1,560",,,,,,,,,,,,,,,,,,
Clallam,Total,"71,404","35,429","35,975",,,,,,,,,,,,,,,,,,
Clark,0-4,"29,429","15,047","14,382",,,,,,,,,,,,,,,,,,
Clark,5-9,"31,139","15,990","15,149",,,,,,,,,,,,,,,,,,
Clark,10-14,"32,840","16,908","15,932",,,,,,,,,,,,,,,,,,
Clark,15-19,"30,021","15,457","14,564",,,,,,,,,,,,,,,,,,
Clark,20-24,"24,383","12,178","12,205",,,,,,,,,,,,,,,,,,
Clark,25-29,"26,418","12,970","13,448",,,,,,,,,,,,,,,,,,
Clark,30-34,"28,467","13,941","14,526",,,,,,,,,,,,,,,,,,
Clark,35-39,"29,691","14,728","14,963",,,,,,,,,,,,,,,,,,
Clark,40-44,"29,997","15,076","14,921",,,,,,,,,,,,,,,,,,
Clark,45-49,"31,452","15,468","15,984",,,,,,,,,,,,,,,,,,
Clark,50-54,"30,440","15,132","15,308",,,,,,,,,,,,,,,,,,
Clark,55-59,"28,119","13,504","14,615",,,,,,,,,,,,,,,,,,
Clark,60-64,"24,257","11,712","12,545",,,,,,,,,,,,,,,,,,
Clark,65-69,"16,888","8,194","8,694",,,,,,,,,,,,,,,,,,
Clark,70-74,"11,194","5,388","5,806",,,,,,,,,,,,,,,,,,
Clark,75-79,"7,916","3,544","4,372",,,,,,,,,,,,,,,,,,
Clark,80-84,"6,304","2,565","3,739",,,,,,,,,,,,,,,,,,
Clark,85+,"6,408","2,152","4,256",,,,,,,,,,,,,,,,,,
Clark,Total,"425,363","209,954","215,409",,,,,,,,,,,,,,,,,,
Columbia,0-4,216,115,101,,,,,,,,,,,,,,,,,,
Columbia,5-9,197,100,97,,,,,,,,,,,,,,,,,,
Columbia,10-14,247,116,131,,,,,,,,,,,,,,,,,,
Columbia,15-19,230,118,112,,,,,,,,,,,,,,,,,,
Columbia,20-24,158,76,82,,,,,,,,,,,,,,,,,,
Columbia,25-29,182,94,88,,,,,,,,,,,,,,,,,,
Columbia,30-34,166,92,74,,,,,,,,,,,,,,,,,,
Columbia,35-39,193,89,104,,,,,,,,,,,,,,,,,,
Columbia,40-44,229,124,105,,,,,,,,,,,,,,,,,,
Columbia,45-49,324,158,166,,,,,,,,,,,,,,,,,,
Columbia,50-54,306,154,152,,,,,,,,,,,,,,,,,,
Columbia,55-59,342,171,171,,,,,,,,,,,,,,,,,,
Columbia,60-64,351,178,173,,,,,,,,,,,,,,,,,,
Columbia,65-69,305,144,161,,,,,,,,,,,,,,,,,,
Columbia,70-74,222,119,103,,,,,,,,,,,,,,,,,,
Columbia,75-79,149,68,81,,,,,,,,,,,,,,,,,,
Columbia,80-84,116,52,64,,,,,,,,,,,,,,,,,,
